date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:53:35	1047/1047	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22477def24f29ec374c5be282abf7168dd%22	https://hyperdraft.rosano.ca/_shared/__external/OLSKUIAssets/_OLSKSharedFeatureOffline.svg	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/OLSKUIAssets/_OLSKSharedFeatureOffline.svg	(from https://hyperdraft.rosano.ca/)
21:53:35	802/802	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b85ab1cae8603843971c5ecfabc88ab5%22	https://hyperdraft.rosano.ca/_shared/__external/OLSKUIAssets/_OLSKSharedFeatureSync.svg	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/OLSKUIAssets/_OLSKSharedFeatureSync.svg	(from https://hyperdraft.rosano.ca/)
21:53:35	2409/2409	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227ceb03843997d0c6a8c9bad41561328c%22	https://hyperdraft.rosano.ca/_shared/__external/OLSKUIAssets/_OLSKSharedFeatureKeyboard.svg	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/OLSKUIAssets/_OLSKSharedFeatureKeyboard.svg	(from https://hyperdraft.rosano.ca/)
21:53:36	1570/1570	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262ef45ff6d5877542b89e75e61d504f8%22	https://hyperdraft.rosano.ca/_shared/__external/OLSKUIAssets/_OLSKSharedFeatureTransport.svg	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/OLSKUIAssets/_OLSKSharedFeatureTransport.svg	(from https://hyperdraft.rosano.ca/)
21:53:36	1338/1338	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2239037184dd81a36e59c132785aae4f79%22	https://hyperdraft.rosano.ca/_shared/__external/OLSKUIAssets/_OLSKSharedFeatureAccessible.svg	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/OLSKUIAssets/_OLSKSharedFeatureAccessible.svg	(from https://hyperdraft.rosano.ca/)
21:53:37	962/962	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22cd7a72329f98fa8148c92e74c996911d%22	https://hyperdraft.rosano.ca/_shared/__external/OLSKUIAssets/_OLSKSharedFeaturePrivate.svg	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/OLSKUIAssets/_OLSKSharedFeaturePrivate.svg	(from https://hyperdraft.rosano.ca/)
21:53:37	2200/2200	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ebe5d1436301f902a0308a74acd858a6%22	https://hyperdraft.rosano.ca/_shared/__external/OLSKUIAssets/_OLSKSharedFeatureZeroData.svg	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/OLSKUIAssets/_OLSKSharedFeatureZeroData.svg	(from https://hyperdraft.rosano.ca/)
21:53:37	889/889	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22cb24b461388d8ccf1ca24b5ecccabac3%22	https://hyperdraft.rosano.ca/_shared/__external/OLSKUIAssets/_OLSKSharedFeatureOpenSource.svg	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/OLSKUIAssets/_OLSKSharedFeatureOpenSource.svg	(from https://hyperdraft.rosano.ca/)
21:53:38	14767/14767	---MCZ	200	added ('OK')	text/html	etag:W/%22e15b283591d8c091b51b629fb0cb3f29%22	https://hyperdraft.rosano.ca/guide	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/guide.html	(from https://hyperdraft.rosano.ca/)
21:53:38	8190/8190	---MCZ	200	added ('OK')	text/html	etag:W/%22ad099be68f2405054d7d9ac21bbecdf7%22	https://hyperdraft.rosano.ca/compare-simplenote	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/compare-simplenote.html	(from https://hyperdraft.rosano.ca/)
